"","respid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","sdensity","susr","llitext0","llitext","qintro2","phase","qs1","qa1","q1c1","qc1a","qb2","qb3","qb4","qb5","qa6","qa8","qa9a","qa9b","qa9c","qa9d","qa9e","qa9f","qa9g","q11a","q11b","q11c_b","q11e_b","q11h_b","q11i_b","q11j_b","q11at","q11bt","qb12"
"1088",1547,"Landline",140208,140205,5,"No","English","Northeast","Connecticut","4","S  ","Northeast","Connecticut","4","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1089",1548,"Landline",140205,140205,1,"No","English","South","Virginia","Lowest","S  ","South","Virginia","Lowest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Important","Important","Very unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1090",1549,"Landline",140206,140205,2,"No","English","Northeast","New Hampshire","Lowest","R  ","Northeast","New Hampshire","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"1091",1550,"Landline",140205,140205,1,"No","English","Northeast","New York","4","S  ","Northeast","New York","4","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Very favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1092",1551,"Landline",140205,140205,1,"No","English","Northeast","Pennsylvania","4","S  ","Northeast","Pennsylvania","4","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Important","Important","Important","Not too important","Important","Mostly unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1093",1552,"Landline",140205,140205,1,"No","English","Midwest","Indiana","2","S  ","Midwest","Indiana","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"(VOL) Don't know/Refused",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1094",1553,"Landline",140205,140205,1,"No","English","South","Virginia","3","S  ","South","Virginia","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Not too important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1095",1554,"Landline",140205,140205,1,"No","English","Midwest","Ohio","Highest","U  ","Midwest","Ohio","Highest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Important","Important","Not too important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1096",1555,"Landline",140205,140205,1,"No","English","Northeast","Vermont","Lowest","R  ","Northeast","Vermont","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Important","Important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1097",1557,"Landline",140209,140205,7,"No","English","South","North Carolina","3","U  ","South","North Carolina","3","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Important","Important","Important","Very unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1098",1559,"Landline",140205,140205,1,"No","English","Midwest","Ohio","2","R  ","Midwest","Ohio","2","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1099",1562,"Landline",140205,140205,1,"No","English","Northeast","Pennsylvania","3","U  ","Northeast","Pennsylvania","3","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1100",1564,"Landline",140205,140205,1,"No","English","South","North Carolina","2","S  ","South","North Carolina","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Not too important","Not too important","Important","Not too important","Very favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1101",1565,"Landline",140205,140205,1,"No","English","Northeast","New Jersey","4","S  ","Northeast","New Jersey","4","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Important","Important","Not too important","Not too important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1102",1566,"Landline",140205,140205,1,"No","English","South","Florida","2","S  ","South","Florida","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Important","Important","Not too important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1103",1569,"Landline",140205,140205,1,"No","English","South","Georgia","4","U  ","South","Georgia","4","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Important","Important","Not too important","Not too important","Very unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1104",1570,"Landline",140205,140205,1,"No","English","Northeast","Massachusetts","4","S  ","Northeast","Massachusetts","4","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Important","Important","Important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1105",1571,"Landline",140205,140205,1,"No","English","Northeast","New Jersey","4","U  ","Northeast","New Jersey","4","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Not too important","Important","Not too important","Not too important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1106",1572,"Landline",140205,140205,2,"No","English","Northeast","New York","3","S  ","Northeast","New York","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1107",1573,"Landline",140205,140205,2,"No","English","Northeast","Pennsylvania","Lowest","R  ","Northeast","Pennsylvania","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","Important","Not too important","Important","Important","(VOL) Can't rate","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1108",1576,"Landline",140205,140205,2,"No","English","Northeast","Pennsylvania","2","R  ","Northeast","Pennsylvania","2","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Not too important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1109",1578,"Landline",140205,140205,2,"No","English","South","South Carolina","3","S  ","South","South Carolina","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Not too important","Not too important","Not too important","Important","Not too important","(VOL) Can't rate","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"1110",1579,"Landline",140205,140205,5,"No","English","Midwest","Michigan","2","S  ","Midwest","Michigan","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1111",1581,"Landline",140205,140205,7,"No","English","South","Georgia","Lowest","R  ","South","Georgia","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Important","Important","Important","Very unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1112",1584,"Landline",140205,140205,3,"No","English","Northeast","New Hampshire","2","R  ","Northeast","New Hampshire","2","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1113",1585,"Landline",140205,140205,2,"No","English","South","West Virginia","2","S  ","South","West Virginia","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Not too important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1114",1589,"Landline",140205,140205,6,"No","English","South","South Carolina","3","U  ","South","South Carolina","3","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Important","Important","(VOL) Refused","(VOL) Refused",NA,NA,NA,NA,NA,NA,NA,NA
"1115",1600,"Landline",140205,140205,2,"No","English","Midwest","Missouri","4","U  ","Midwest","Missouri","4","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Important","Not too important","Important","Not too important","Not too important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1116",1603,"Landline",140205,140205,7,"No","English","South","Louisiana","Lowest","S  ","South","Louisiana","Lowest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Not too important","Important","Important","Mostly unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1117",1604,"Landline",140205,140205,2,"No","English","Midwest","Illinois","Lowest","S  ","Midwest","Illinois","Lowest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Important","Not too important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1118",1605,"Landline",140205,140205,2,"No","English","Midwest","Iowa","Lowest","U  ","Midwest","Iowa","Lowest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1119",1606,"Landline",140205,140205,2,"No","English","Midwest","Illinois","Lowest","R  ","Midwest","Illinois","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Not too important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1120",1610,"Landline",140205,140205,2,"No","English","South","Mississippi","Lowest","R  ","South","Mississippi","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Important","Important","Important","Important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1121",1611,"Landline",140205,140205,1,"No","English","Midwest","Kansas","3","U  ","Midwest","Kansas","3","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1122",1613,"Landline",140205,140205,1,"No","English","South","Texas","Lowest","R  ","South","Texas","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","(VOL) Don't know/Refused","Important","Important","(VOL) Don't know/Refused","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1123",1615,"Landline",140205,140205,1,"No","English","Midwest","Kansas","Lowest","R  ","Midwest","Kansas","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1124",1617,"Landline",140205,140205,1,"No","English","South","Alabama","2","U  ","South","Alabama","2","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Important","Important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1125",1618,"Landline",140205,140205,1,"No","English","Midwest","Indiana","3","S  ","Midwest","Indiana","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1126",1619,"Landline",140205,140205,1,"No","English","South","Tennessee","2","S  ","South","Tennessee","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Important","Important","Important","Very unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1127",1621,"Landline",140205,140205,1,"No","English","Midwest","Missouri","Highest","U  ","Midwest","Missouri","Highest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Important","Important","Important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1128",1623,"Landline",140205,140205,1,"No","English","South","Texas","2","S  ","South","Texas","2","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Not too important","Not too important","Important","Mostly unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1129",1624,"Landline",140205,140205,1,"No","English","Midwest","Minnesota","Highest","U  ","Midwest","Minnesota","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Not too important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1130",1625,"Landline",140205,140205,1,"No","English","Midwest","Iowa","2","U  ","Midwest","Iowa","2","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Not too important","Not too important","Important","Not too important","Not too important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1131",1626,"Landline",140205,140205,1,"No","English","Midwest","Wisconsin","3","U  ","Midwest","Wisconsin","3","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Important","Not too important","Important","Important","Very favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1132",1627,"Landline",140205,140205,1,"No","English","Midwest","Indiana","3","S  ","Midwest","Indiana","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Not too important","Not too important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1133",1628,"Landline",140205,140205,1,"No","English","Midwest","Missouri","2","S  ","Midwest","Missouri","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Important","Not too important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1134",1629,"Landline",140205,140205,1,"No","English","South","Arkansas","Lowest","R  ","South","Arkansas","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Important","Not too important","Important","Important","Very favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1135",1630,"Landline",140205,140205,1,"No","English","South","Tennessee","2","U  ","South","Tennessee","2","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","(VOL) Don't know/Refused","Not too important","Not too important","(VOL) Don't know/Refused","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1136",1631,"Landline",140205,140205,2,"No","English","South","Tennessee","4","U  ","South","Tennessee","4","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Not too important","Important","Not too important","Important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1137",1632,"Landline",140205,140205,1,"No","English","South","Texas","Lowest","S  ","South","Texas","Lowest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Important","Not too important","Important","Important","Not too important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1138",1633,"Landline",140205,140205,1,"No","English","Midwest","Nebraska","4","U  ","Midwest","Nebraska","4","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Not too important","Not too important","Important","Important","Not too important","Important","Mostly unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1139",1634,"Landline",140205,140205,1,"No","English","Midwest","Iowa","2","U  ","Midwest","Iowa","2","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","Not too important","Not too important","Not too important","Not too important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1140",1636,"Landline",140205,140205,1,"No","English","Midwest","Kansas","4","S  ","Midwest","Kansas","4","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Important","Not too important","Important","Important","Very unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1141",1637,"Landline",140205,140205,1,"No","English","South","Oklahoma","Lowest","S  ","South","Oklahoma","Lowest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","Not too important","Not too important","Important","Not too important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1142",1640,"Landline",140205,140205,1,"No","English","South","Texas","Lowest","S  ","South","Texas","Lowest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","(VOL) Don't know/Refused","Important","Not too important","Not too important","Not too important","Important","Important","(VOL) Can't rate","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"1143",1641,"Landline",140205,140205,1,"No","English","South","Tennessee","Lowest","R  ","South","Tennessee","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Not too important","Important","Not too important","Important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1144",1643,"Landline",140205,140205,7,"No","English","West","Colorado","3","S  ","West","Colorado","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Not too important","Important","Important","Important","Not too important","Important","Very unfavorable","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"1145",1644,"Landline",140206,140205,4,"No","English","West","Arizona","3","U  ","West","Arizona","3","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Important","Important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1146",1645,"Landline",140205,140205,1,"No","English","West","Montana","Lowest","U  ","West","Montana","Lowest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Important","Not too important","Important","Important","Not too important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1147",1646,"Landline",140205,140205,1,"No","English","West","New Mexico","Lowest","R  ","West","New Mexico","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Important","Not too important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1148",1647,"Landline",140206,140205,2,"No","English","West","Arizona","3","U  ","West","Arizona","3","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Not too important","Not too important","Not too important","Important","Important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"1149",1648,"Landline",140205,140205,2,"No","English","West","Arizona","3","U  ","West","Arizona","3","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Not too important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1150",1649,"Landline",140205,140205,3,"No","English","West","Idaho","3","S  ","West","Idaho","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Important","Not too important","Important","Important","Not too important","Very unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1151",1650,"Landline",140205,140205,3,"No","English","West","Colorado","Lowest","U  ","West","Colorado","Lowest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"1152",1651,"Landline",140205,140205,3,"No","English","West","Arizona","3","U  ","West","Arizona","3","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"(VOL) Don't know/Refused","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","Not too important","Important","Not too important","Not too important","(VOL) Refused","(VOL) Refused",NA,NA,NA,NA,NA,NA,NA,NA
"1153",1653,"Landline",140205,140205,6,"No","English","West","Arizona","3","U  ","West","Arizona","3","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Important","Important","Not too important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
